player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,ts_pct,gp_pred,pts_pred,reb_pred,ast_pred
Matt Ryan,MIN,26.0,198.12,97.52228,34,3.6,0.8,0.5,2.2,0.5379999999999999,47.85,5.503,2.209000000000001,0.9689999999999999
Matthew Dellavedova,SAC,32.0,190.5,90.7184,32,1.5,0.4,1.3,-8.8,0.4429999999999999,41.970000000000006,4.444999999999996,1.6650000000000005,1.6660000000000004
Max Christie,LAL,20.0,195.58,86.18248,41,3.1,1.8,0.5,-7.1,0.5660000000000001,41.839999999999996,5.011,2.164000000000001,1.0329999999999997
Max Strus,MIA,27.0,195.58,97.52228,80,11.5,3.2,2.1,-3.8,0.557,67.69,11.083,3.1319999999999997,2.2319999999999998
Maxi Kleber,DAL,31.0,208.28,108.86208,37,5.9,3.6,1.4,-2.9,0.5920000000000001,40.03,5.534999999999997,3.385,1.2630000000000008
McKinley Wright IV,DAL,24.0,180.34,87.089664,27,4.2,1.7,2.1,-14.9,0.536,34.599999999999994,4.999999999999997,1.6590000000000011,2.075
Meyers Leonard,MIL,31.0,213.36,117.93392,9,4.8,3.8,0.1,-12.5,0.652,31.85000000000001,4.221999999999998,3.293,0.48899999999999855
Mfiondu Kabengele,BOS,25.0,208.28,113.398,4,1.5,2.5,0.0,-6.9,0.381,32.17999999999999,2.9559999999999977,2.134999999999999,0.5289999999999988
Malik Monk,SAC,25.0,190.5,90.7184,77,13.5,2.6,3.9,1.0,0.5870000000000001,67.72,12.837,2.872,4.234999999999999
Malik Beasley,LAL,26.0,193.04,84.821704,81,12.7,3.5,1.5,-2.2,0.531,64.61,11.912,3.443,2.127
Malcolm Hill,CHI,27.0,198.12,99.79024,5,1.0,0.6,0.0,39.1,0.625,23.44,4.475999999999998,2.279,0.8009999999999999
Malcolm Brogdon,BOS,30.0,193.04,103.872568,67,14.9,4.2,3.7,5.1,0.615,64.5,14.041,4.246,3.57
LaMelo Ball,CHA,21.0,200.66,81.64656,36,23.3,6.4,8.4,-4.7,0.541,53.69,24.017000000000003,5.849,8.227999999999998
Lamar Stevens,CLE,25.0,198.12,104.32616,62,5.3,3.3,0.5,1.2,0.524,52.1,6.451000000000001,3.0520000000000005,1.1339999999999997
Landry Shamet,PHX,26.0,193.04,86.18248,40,8.7,1.7,2.3,2.2,0.537,56.98,8.228,2.3370000000000006,2.447
Larry Nance Jr.,NOP,30.0,203.2,111.13004,65,6.8,5.4,1.8,6.7,0.649,59.300000000000004,7.154999999999998,5.307,1.6169999999999998
Lauri Markkanen,UTA,26.0,213.36,108.86208,66,25.6,8.6,1.9,3.8,0.6409999999999999,54.61,21.600000000000005,9.274999999999997,3.481
LeBron James,LAL,38.0,205.74,113.398,55,28.9,8.3,6.8,4.6,0.583,59.21999999999999,28.210000000000008,8.684999999999995,6.996999999999995
Leandro Bolmaro,UTA,22.0,198.12,90.7184,14,0.4,0.5,0.5,0.7,0.15,30.139999999999993,3.0699999999999994,1.8870000000000002,0.7179999999999986
Lester Quinones,GSW,22.0,193.04,94.347136,4,2.5,0.8,0.5,14.6,0.654,23.800000000000004,5.428000000000001,2.306,1.167
Lindy Waters III,OKC,25.0,198.12,95.25432,41,5.2,1.8,0.7,10.5,0.573,53.53,6.786000000000001,2.4120000000000017,1.194
Julian Champagnie,SAS,22.0,200.66,98.429464,17,9.7,3.5,0.6,-10.6,0.6,62.57,8.824,3.624,1.1340000000000006
Lonnie Walker IV,LAL,24.0,193.04,92.532768,56,11.7,1.9,1.1,-7.3,0.57,59.830000000000005,9.487,2.538,1.576
Luguentz Dort,OKC,24.0,193.04,99.79024,74,13.7,4.6,2.1,0.9,0.513,67.73,14.48,4.447000000000001,2.6029999999999998
Luka Doncic,DAL,24.0,200.66,104.32616,66,32.4,8.6,8.0,2.1,0.609,65.09000000000002,30.93999999999999,8.806000000000006,8.044000000000004
Luka Garza,MIN,24.0,208.28,110.222856,28,6.5,2.3,0.6,2.0,0.652,49.18,5.777000000000003,3.002,0.8240000000000001
Luka Samanic,UTA,23.0,208.28,102.965384,7,9.9,4.3,2.1,-1.7,0.55,58.07,10.136,4.173,1.858
Luke Kennard,MEM,27.0,195.58,93.439952,59,9.3,2.7,1.5,7.3,0.684,63.57,8.348,2.8770000000000002,1.616
Luke Kornet,BOS,27.0,218.44,113.398,69,3.8,2.9,0.8,3.9,0.6970000000000001,46.46,5.909999999999999,3.788,1.062
Mac McClung,PHI,24.0,187.96,83.91452,2,12.5,5.0,4.5,19.6,0.563,52.52,11.038,3.927,3.6559999999999997
Malachi Flynn,TOR,25.0,185.42,79.3786,53,4.6,1.4,1.3,-3.5,0.479,56.31,6.0319999999999965,2.0149999999999997,1.6039999999999996
Malaki Branham,SAS,20.0,193.04,81.64656,66,10.2,2.7,1.9,-11.1,0.524,57.27,8.673,2.565000000000001,1.835
Louis King,PHI,24.0,200.66,92.98636,1,20.0,4.0,2.0,5.2,0.7440000000000001,56.489999999999995,17.725999999999996,4.588,2.5669999999999997
Juancho Hernangomez,TOR,27.0,205.74,97.068688,42,2.9,2.9,0.6,0.5,0.504,33.21,3.6170000000000027,2.425,0.7479999999999991
Juan Toscano-Anderson,UTA,30.0,198.12,94.800728,52,3.0,2.4,1.3,-9.9,0.505,37.69,4.554999999999997,2.077,1.1549999999999998
Jrue Holiday,MIL,33.0,195.58,92.98636,67,19.3,5.1,7.4,9.2,0.586,56.62,18.814999999999998,4.734,6.990000000000002
Jalen McDaniels,PHI,25.0,205.74,92.98636,80,9.4,4.3,1.6,-3.4,0.557,64.84,9.366,4.606,1.8039999999999998
Jalen Smith,IND,23.0,205.74,97.52228,68,9.4,5.8,1.0,-3.8,0.565,59.41,8.666,4.9590000000000005,0.9870000000000008
Jalen Suggs,ORL,22.0,195.58,92.98636,53,9.9,3.0,2.9,-1.3,0.528,65.82,9.527000000000001,3.1169999999999995,2.9740000000000006
Jalen Williams,OKC,22.0,195.58,95.707912,75,14.1,4.5,3.3,-1.0,0.601,68.99000000000001,13.572,4.077,2.864
Jamal Cain,MIA,24.0,198.12,86.636072,18,5.4,2.9,0.7,5.5,0.647,39.96000000000001,4.757000000000002,2.4139999999999997,0.8339999999999994
Jamal Murray,DEN,26.0,193.04,97.52228,65,20.0,4.0,6.2,6.4,0.5710000000000001,61.46,19.23999999999999,4.417999999999999,5.830999999999998
Jamaree Bouyea,WAS,24.0,187.96,81.64656,5,3.0,1.2,0.8,-13.2,0.504,28.029999999999998,4.644999999999999,2.0759999999999996,1.1809999999999996
James Bouknight,CHA,22.0,193.04,86.18248,34,5.6,2.1,1.2,-8.3,0.4629999999999999,43.99,5.841999999999997,2.261000000000001,1.3940000000000001
James Harden,PHI,33.0,195.58,99.79024,58,21.0,6.1,10.7,6.1,0.607,57.87,19.837000000000003,5.216999999999999,8.988000000000001
